,Result_X,Result_Cov,index
0,0.0,0.0,0.0
1,-0.0016565396217629,0.1,0.0
2,-0.0033130613155662,0.2,0.0
3,-0.0049695830093695,0.30000000000000004,0.0
4,-0.006625966401770499,0.4,0.0
5,-0.008282349794171499,0.5,0.0
6,-0.006742958561517099,0.6,0.0
7,-0.0052035673288626984,0.7,0.0
8,-396177.35209729616,0.0056680161943303276,1.0
9,-396177.3516231009,0.10566801619433033,0.0
10,-396177.3511489057,0.20566801619433034,0.0
11,-396177.3506746951,0.30566801619433037,0.0
12,-396177.3502004845,0.40566801619433035,0.0
13,-396177.350791638,0.5056680161943303,0.0
14,-396177.35138279153,0.6056680161943303,0.0
15,-396177.3498434038,0.7056680161943303,0.0
16,-396177.34830401605,0.8056680161943303,0.0
17,-396177.34676464344,0.9056680161943302,0.0
18,-396177.34522527084,1.0056680161943303,0.0
19,-396177.3426206596,1.1056680161943304,0.0
20,-396177.3400160484,1.2056680161943305,0.0
21,-399396.19630930165,0.005687330506851824,1.0
22,-399396.1958351851,0.10568733050685183,0.0
23,-399396.1953610686,0.20568733050685184,0.0
24,-399396.19595220184,0.3056873305068518,0.0
25,-399396.1965433351,0.4056873305068518,0.0
26,-399396.1971344297,0.5056873305068518,0.0
27,-399411.28343126015,0.005650435581260181,1.0
28,-399411.28402235475,0.1056504355812602,0.0
29,-399411.28248292,0.2056504355812602,0.0
30,-399411.2809434852,0.3056504355812602,0.0
31,-399411.2815345146,0.40565043558126024,0.0
32,-399411.28212554404,0.5056504355812602,0.0
33,-399411.28271655855,0.6056504355812602,0.0
34,-399411.28330757306,0.7056504355812602,0.0
35,-399411.2870944862,0.8056504355812601,0.0
36,-399411.2908813993,0.9056504355812601,0.0
37,-399411.4511595107,0.005678456961581602,1.0
38,-399411.4538811014,0.10567845696158161,0.0
39,-399411.4566026921,0.2056784569615816,0.0
40,-399411.45825908455,0.3056784569615816,0.0
41,-399411.459915477,0.40567845696158156,0.0
42,-399411.4583760122,0.5056784569615815,0.0
43,-399411.4568365474,0.6056784569615815,0.0
44,-399411.45362532284,0.005660878045296882,1.0
45,-399411.4563469587,0.10566087804529689,0.0
46,-399411.45906859456,0.2056608780452969,0.0
47,-399411.45646384364,0.3056608780452969,0.0
48,-399411.4538590927,0.40566087804529694,0.0
49,-399411.4544501447,0.5056608780452969,0.0
50,-399411.4550411967,0.6056608780452969,0.0
51,-399411.4545669838,0.7056608780452969,0.0
52,-399411.4540927709,0.8056608780452968,0.0
53,-399411.4557490737,0.9056608780452968,0.0
54,-399411.45740537654,1.005660878045297,0.0
55,-399411.45799637755,1.105660878045297,0.0
56,-399411.45858737855,1.205660878045297,0.0
57,-399411.45353602356,0.005687330348011283,1.0
58,-399411.4541270823,0.10568733034801128,0.0
59,-399411.45471814106,0.2056873303480113,0.0
60,-399411.45424394304,0.3056873303480113,0.0
61,-399411.453769745,0.4056873303480113,0.0
62,-399411.45542606857,0.5056873303480113,0.0
63,-399411.4524172584,0.005650435581242034,1.0
64,-399411.45407358196,0.10565043558124204,0.0
65,-399411.453599363,0.20565043558124205,0.0
66,-399411.453125144,0.30565043558124205,0.0
67,-399411.45478144684,0.40565043558124203,0.0
68,-399411.4564377497,0.505650435581242,0.0
69,-399411.45374975086,0.005650430974481171,1.0
70,-399411.4532755321,0.10565043097448118,0.0
71,-399411.45280131337,0.20565043097448119,0.0
72,-399411.4512618076,0.3056504309744812,0.0
73,-399411.4497223018,0.40565043097448117,0.0
74,-399411.451378579,0.5056504309744811,0.0
75,-399411.45303485624,0.6056504309744811,0.0
76,-399411.45362592407,0.7056504309744811,0.0
77,-399411.4542169919,0.8056504309744811,0.0
78,-399411.45693853346,0.9056504309744811,0.0
79,-399411.459660075,1.0056504309744811,0.0
80,-399411.4591858719,1.1056504309744812,0.0
81,-399411.45871166873,1.2056504309744813,0.0
82,-399411.4593027419,1.3056504309744814,0.0
83,-399411.4598938151,1.4056504309744815,0.0
84,-399411.4541720132,0.005691149907616357,1.0
